origines,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13
Haute-Garonne,haute-garonne,haute garonne,,,,,,,,,,,
Gers,gers,,,,,,,,,,,,
Gironde,gironde,,,,,,,,,,,,
Hérault,hérault,herault,,,,,,,,,,,
Ille-et-Vilaine,ille-et-vilaine,ille viine,,,,,,,,,,,
Indre,indre,,,,,,,,,,,,
Indre-et-Loire,indre-et-loire,indre loire,,,,,,,,,,,
Isère,isère,isere,,,,,,,,,,,
Jura,jura,,,,,,,,,,,,
Landes,landes,,,,,,,,,,,,
Loir-et-Cher,loir-et-cher,loir et cher,,,,,,,,,,,
Loire,loire,,,,,,,,,,,,
Haute-Loire,haute-loire,haute loire,,,,,,,,,,,
Loire-Atlantique,loire-atlantique,loire atlantique,,,,,,,,,,,
Loiret,loiret,,,,,,,,,,,,
Lot,lot,,,,,,,,,,,,
Lot-et-Garonne,lot-et-garonne,lot et garonne,,,,,,,,,,,
Lozère,lozère,lozere,,,,,,,,,,,
Maine-et-Loire,maine-et-loire,maine loire,,,,,,,,,,,
Manche,manche,,,,,,,,,,,,
Marne,marne,,,,,,,,,,,,
Haute-Marne,haute-marne,haute marne,,,,,,,,,,,
Mayenne,mayenne,,,,,,,,,,,,
Meurthe-et-Moselle,meurthe-et-moselle,meurthe et moselle,,,,,,,,,,,
Meuse,meuse,,,,,,,,,,,,
Morbihan,morbihan,,,,,,,,,,,,
Moselle,moselle,,,,,,,,,,,,
Nièvre,nièvre,nievre,,,,,,,,,,,
Nord,nord,,,,,,,,,,,,
Oise,oise,,,,,,,,,,,,
Orne,orne,,,,,,,,,,,,
Pas-de-Calais,pas-de-calais,pas de cais,,,,,,,,,,,
Puy-de-Dôme,puy-de-dôme,puy de dome,,,,,,,,,,,
Pyrénées-Atlantiques,pyrénées-atlantiques,pyrenees atntiques,,,,,,,,,,,
Hautes-Pyrénées,hautes-pyrénées,hautes pyrenees,,,,,,,,,,,
Pyrénées-Orientales,pyrénées-orientales,pyrenees orientales,,,,,,,,,,,
Bas-Rhin,bas-rhin,bas rhin,,,,,,,,,,,
Haut-Rhin,haut-rhin,haut rhin,,,,,,,,,,,
Rhône,rhône,rhone,,,,,,,,,,,
Haute-Saône,haute-saône,haute saone,,,,,,,,,,,
Saône-et-Loire,saône-et-loire,saone et loire,,,,,,,,,,,
Sarthe,sarthe,,,,,,,,,,,,
Savoie,savoie,,,,,,,,,,,,
Haute-Savoie,haute-savoie,haute savoie,,,,,,,,,,,
