basevariante,aliment,variante,tva,famille,allergenes
Maasdam,Maasdam,,-,BOF,
Macaron moelleux,Macaron moelleux,,-,Epicerie,
Macaron sec,Macaron sec,,-,Epicerie,
Macaronis,Macaronis,,-,Epicerie,
Macédoine de légumes,Macédoine de légumes,,-,Fruits_et_légumes,
Macédoine de légumes,Macédoine de légumes,,-,Fruits_et_légumes,
Macédoine de légumes,Macédoine de légumes,,-,Fruits_et_légumes,
Mâche épluché,Mâche,épluché,-,Fruits_et_légumes,
Mâche,Mâche,,-,Fruits_et_légumes,
Mâche,Mâche,,-,Fruits_et_légumes,
Madeleine au chocolat,Madeleine,au chocolat,-,Epicerie,
Madeleine ordinaire,Madeleine,ordinaire,-,Epicerie,
Madeleine pur beurre,Madeleine,pur beurre,-,Epicerie,
Madère dénaturé,Madère dénaturé,,-,Epicerie,
Magret canard,Magret canard,,-,Viandes_Poissons,
Maïs,Maïs,,-,Epicerie,
Maïs,Maïs,,-,Epicerie,
Maïs doux,Maïs doux,,-,Fruits_et_légumes,
Maïs doux,Maïs doux,,-,Fruits_et_légumes,
Maïs doux en épis,Maïs doux,en épis,-,Fruits_et_légumes,
Maïs doux en épis,Maïs doux,en épis,-,Fruits_et_légumes,
Maïzena,Maïzena,,-,Epicerie,
Maki aux produits de la mer,Maki aux produits de la mer,,-,Epicerie,
Mandarine,Mandarine,,-,Fruits_et_légumes,
Mandarine au sirop,Mandarine,au sirop,-,Fruits_et_légumes,
Mango bassignac,Mango,bassignac,-,Fruits_et_légumes,
Mango moussache,Mango,moussache,-,Fruits_et_légumes,
Mangue,Mangue,,-,Fruits_et_légumes,
Mangue julie,Mangue,julie,-,Fruits_et_légumes,
Mangue verte,Mangue,verte,-,Fruits_et_légumes,
Mangue José,Mangue,José,-,Fruits_et_légumes,
Manioc,Manioc,,-,Fruits_et_légumes,
Maquereau,Maquereau,,-,Viandes_Poissons,
Maquereau frit,Maquereau,frit,-,Viandes_Poissons,
Maquereau fumé,Maquereau,fumé,-,Viandes_Poissons,
Maquereau,Maquereau,,-,Viandes_Poissons,
Maquereau filet sauce moutarde,Maquereau,filet sauce moutarde,-,Viandes_Poissons,
Maquereau filet sauce tomate,Maquereau,filet sauce tomate,-,Viandes_Poissons,
Maquereau filet,Maquereau,filet,-,Viandes_Poissons,
Maquereau filet grillé nature,Maquereau,filet grillé nature,-,Viandes_Poissons,
Maquereau mariné,Maquereau,mariné,-,Viandes_Poissons,
Maquereau filet au vin blanc,Maquereau,filet au vin blanc,-,Viandes_Poissons,
maracudja,maracudja,,-,Fruits_et_légumes,
Margarine demi-sel,Margarine,demi-sel,-,Epicerie,
Margarine doux,Margarine,doux,-,Epicerie,
Marmelade d'orange,Marmelade d'orange,,-,Epicerie,
Maroilles fermier,Maroilles,fermier,-,BOF,
Maroilles laitier,Maroilles,laitier,-,BOF,
Maroilles,Maroilles,,-,BOF,
Marron,Marron,,-,Epicerie,
Marron glacé,Marron glacé,,-,Epicerie,
Marsala,Marsala,,-,Epicerie,
Marsala aux oeufs,Marsala aux oeufs,,-,Epicerie,
Mascarpone,Mascarpone,,-,BOF,
Mascarpone frambroise en bande,Mascarpone frambroise,en bande,-,Epicerie,
Massissi,Massissi,,-,Fruits_et_légumes,
Matière grasse laitière,Matière grasse laitière,,-,Epicerie,
Matière grasse mélangée à tartiner,Matière grasse mélangée,à tartiner,-,Epicerie,
Matière grasse végétale oméga 3 et 6,Matière grasse végétale,oméga 3 et 6,-,Epicerie,
Mayonnaise,Mayonnaise,,-,Epicerie,
Mélange apéritif de graines non salées et fruits séchés,Mélange apéritif,de graines non salées et fruits séchés,-,Epicerie,
Mélange apéritif de graines non salées et raisins secs,Mélange apéritif,de graines non salées et raisins secs,-,Epicerie,
Mélange apéritif de graines salées et raisins secs,Mélange apéritif,de graines salées et raisins secs,-,Epicerie,
Mélange apéritif de fruits exotiques sec,Mélange apéritif,de fruits exotiques sec,-,Epicerie,
Mélange de céréales et légumineuses,Mélange de céréales,et légumineuses,-,Epicerie,
Mélange de céréales,Mélange de céréales,,-,Epicerie,
Mélange épices mexicain,Mélange épices,mexicain,-,Epicerie,
Mélange épices pour paëlla,Mélange épices,pour paëlla,-,Epicerie,
Mélange épices quatre épices,Mélange épices,quatre épices,-,Epicerie,
Mélange épices pour couscous,Mélange épices,pour couscous,-,Epicerie,
Mélange épices colombo,Mélange épices,colombo,-,Epicerie,
Mélasse de canne,Mélasse de canne,,-,Epicerie,
Melon charentais de cavaillon,Melon,charentais de cavaillon,-,Fruits_et_légumes,
Melon vert,Melon,vert,-,Fruits_et_légumes,
Melon honeydew,Melon,honeydew,-,Fruits_et_légumes,
Melon miel,Melon,miel,-,Fruits_et_légumes,
Melon,Melon,,-,Fruits_et_légumes,
Meloukhia,Meloukhia,,-,Epicerie,
Meloukhia,Meloukhia,,-,Epicerie,
Meloukhia séché,Meloukhia,séché,-,Epicerie,
Menthe,Menthe,,-,Fruits_et_légumes,
Menthe séché,Menthe,séché,-,Fruits_et_légumes,
Merguez,Merguez,,-,Viandes_Poissons,
Merguez boeuf et mouton,Merguez,boeuf et mouton,-,Viandes_Poissons,
Merguez boeuf mouton et porc,Merguez,boeuf mouton et porc,-,Viandes_Poissons,
Merguez porc et boeuf,Merguez,porc et boeuf,-,Viandes_Poissons,
Merguez pur boeuf,Merguez,pur boeuf,-,Viandes_Poissons,
Meringue,Meringue,,-,Epicerie,
Merlan,Merlan,,-,Viandes_Poissons,
Merlan frit,Merlan,frit,-,Viandes_Poissons,
Merlan pané,Merlan,pané,-,Viandes_Poissons,
Merlu,Merlu,,-,Viandes_Poissons,
Merlu blanc du Cap,Merlu,blanc du Cap,-,Viandes_Poissons,
Merlu filet,Merlu,filet,-,Viandes_Poissons,
Merlu darne,Merlu,darne,-,Viandes_Poissons,
Merlu coeur,Merlu,coeur,-,Viandes_Poissons,
Mérou,Mérou,,-,Viandes_Poissons,
Mesclun,Mesclun,,-,Fruits_et_légumes,
Miel,Miel,,-,Epicerie,
Miette de crabe,Miette de crabe,,-,Viandes_Poissons,
Mignardises,Mignardises,,-,Epicerie,
Mignonette,Mignonette,,-,Epicerie,
Mil,Mil,,-,Epicerie,
Mil entier,Mil entier,,-,Epicerie,
Milk-shake,Milk-shake,,-,BOF,
Mille-feuille,Mille-feuille,,-,Epicerie,
Mimolette,Mimolette,,-,BOF,
Mimolette demi-vieille,Mimolette,demi-vieille,-,BOF,
Mimolette extra-vieille,Mimolette,extra-vieille,-,BOF,
Mimolette jeune,Mimolette,jeune,-,BOF,
Mimolette vieille,Mimolette,vieille,-,BOF,
Mini-viennoiserie,Mini-viennoiserie,,-,Epicerie,
Mirabelle,Mirabelle,,-,Fruits_et_légumes,
Mirabelle,Mirabelle,,-,Fruits_et_légumes,
Mirabelle entier dénoyauté,Mirabelle,entier dénoyauté,-,Fruits_et_légumes,
Mirabelles au sirop,Mirabelles au sirop,,-,Epicerie,
Mirepoix bordelaise,Mirepoix,bordelaise,-,Epicerie,
Miso,Miso,,-,Epicerie,
Mogette,Mogette,,-,Epicerie,
Mont d'or,Mont d'or,,-,BOF,
Morbier,Morbier,,-,BOF,
Mortadelle,Mortadelle,,-,Viandes_Poissons,
Mortadelle porc et boeuf,Mortadelle,porc et boeuf,-,Viandes_Poissons,
Mortadelle pur porc,Mortadelle,pur porc,-,Viandes_Poissons,
Mortadelle pistachée italienne chiffonade,Mortadelle,pistachée italienne chiffonade,-,Viandes_Poissons,
Morue brandade,Morue,brandade,-,Viandes_Poissons,
Morue sèche,Morue,sèche,-,Viandes_Poissons,
Morue,Morue,,-,Viandes_Poissons,
Moule entière cuite,Moule,entière cuite,-,Viandes_Poissons,
Moule,Moule,,-,Viandes_Poissons,
Moule,Moule,,-,Viandes_Poissons,
Moules farcies persillade,Moules,farcies persillade,-,Epicerie,
Moules marinières,Moules,marinières,-,Epicerie,
Moules à la sauce escabèche tomate,Moules,à la sauce escabèche tomate,-,Epicerie,
Moules decortiquées,Moules,decortiquées,-,Epicerie,
Moussaka,Moussaka,,-,Epicerie,
Mousse à la crème de marrons,Mousse à la crème de marrons,,-,BOF,
Mousse au chocolat base laitière,Mousse au chocolat,base laitière,-,BOF,
Mousse au chocolat végétale,Mousse au chocolat,végétale,-,BOF,
Mousse au chocolat,Mousse au chocolat,,-,BOF,
Mousse au citron,Mousse au citron,,-,BOF,
Mousse aux fruits,Mousse aux fruits,,-,BOF,
Mousse de canard,Mousse de canard,,-,Viandes_Poissons,
Mousse de Foie,Mousse de Foie,,-,Epicerie,
Mousse de foie de porc,Mousse de foie de porc,,-,Viandes_Poissons,
Mousse de foie de porc supérieure,Mousse de foie de porc,supérieure,-,Viandes_Poissons,
Mousse de fromage blanc sur lit de fruits 0% mg,Mousse de fromage blanc sur lit de fruits,0% mg,-,BOF,
Mousse de légumes,Mousse de légumes,,-,Epicerie,
Mousse liégeoise au chocolat,Mousse liégeoise,au chocolat,-,BOF,
Mousse liégeoise café,Mousse liégeoise,café,-,BOF,
Mousse liégeoise caramel,Mousse liégeoise,caramel,-,BOF,
Mousse liégeoise vanille,Mousse liégeoise,vanille,-,BOF,
Mousseux liquide,Mousseux,liquide,-,Epicerie,
Moutarde de dijon,Moutarde,de dijon,-,Epicerie,
Moutarde,Moutarde,,-,Epicerie,
Moutarde jaune,Moutarde,jaune,-,Epicerie,
Moutarde graine,Moutarde,graine,-,Epicerie,
Moutarde à l'ancienne,Moutarde à l'ancienne,,-,Epicerie,
Mouton,Mouton,,-,Viandes_Poissons,
Mouton gigot,Mouton,gigot,-,Viandes_Poissons,
Mouton épaule,Mouton,épaule,-,Viandes_Poissons,
Mouton pied,Mouton,pied,-,Viandes_Poissons,
Mouton tête,Mouton,tête,-,Viandes_Poissons,
Mozzarella di bufala,Mozzarella,di bufala,-,BOF,
Mozzarella bille,Mozzarella,bille,-,BOF,
Mozzarella cossette,Mozzarella,cossette,-,BOF,
Mozzarella,Mozzarella,,-,BOF,
Muesli aux fruits,Muesli aux fruits,,-,Epicerie,
Muesli croustillant au chocolat,Muesli croustillant,au chocolat,-,Epicerie,
Muesli croustillant au quinoa,Muesli croustillant,au quinoa,-,Epicerie,
Muesli croustillant aux fruits,Muesli croustillant,aux fruits,-,Epicerie,
Muesli floconneux,Muesli floconneux,,-,Epicerie,
Muesli floconneux aux fruits,Muesli floconneux,aux fruits,-,Epicerie,
Muesli floconneux fruits secs,Muesli floconneux,fruits secs,-,Epicerie,
Muffin vanille,Muffin,vanille,-,Epicerie,
Muffin au chocolat,Muffin,au chocolat,-,Epicerie,
Muffin aux pépites,Muffin,aux pépites,-,Epicerie,
Muffin au chocolat sans gluten,Muffin,au chocolat sans gluten,-,Epicerie,
Muffin aux myrtilles,Muffin,aux myrtilles,-,Epicerie,
Muffin anglais,Muffin,anglais,-,Epicerie,
Muffin,Muffin,,-,Epicerie,
Mulet,Mulet,,-,Viandes_Poissons,
Multi-céréales soufflées,Multi-céréales soufflées,,-,Epicerie,
Munster,Munster,,-,BOF,
Mûre,Mûre,,-,Fruits_et_légumes,
Mûre noire,Mûre,noire,-,Fruits_et_légumes,
Mûre,Mûre,,-,Fruits_et_légumes,
Muscade,Muscade,,-,Epicerie,
Muscadet liquide,Muscadet,liquide,-,Epicerie,
Museau de boeuf,Museau de boeuf,,-,Viandes_Poissons,
Museau de porc,Museau de porc,,-,Viandes_Poissons,
Myrtille,Myrtille,,-,Fruits_et_légumes,
Myrtille,Myrtille,,-,Fruits_et_légumes,
Nappage rouge,Nappage,rouge,-,Epicerie,
Nappage blond,Nappage,blond,-,Epicerie,
Nappage caramel,Nappage,caramel,-,Epicerie,
Navarin d'agneau aux légumes,Navarin d'agneau aux légumes,,-,Epicerie,
Navet bâtonnet,Navet,bâtonnet,-,Fruits_et_légumes,
Navet bâtonnet,Navet,bâtonnet,-,Fruits_et_légumes,
Navet épluché,Navet,épluché,-,Fruits_et_légumes,
Navet lamelle,Navet,lamelle,-,Fruits_et_légumes,
Navet lamelle,Navet,lamelle,-,Fruits_et_légumes,
Navet long blanc,Navet,long blanc,-,Fruits_et_légumes,
Navet long,Navet,long,-,Fruits_et_légumes,
Navet,Navet,,-,Fruits_et_légumes,
Navet,Navet,,-,Fruits_et_légumes,
Navet en cubes,Navet,en cubes,-,Fruits_et_légumes,
Navet en cubes,Navet,en cubes,-,Fruits_et_légumes,
Navet,Navet,,-,Fruits_et_légumes,
Nectar d'abricot,Nectar,d'abricot,-,Epicerie,
Nectar d'ananas,Nectar,d'ananas,-,Epicerie,
Nectar d'orange,Nectar,d'orange,-,Epicerie,
Nectar de banane,Nectar,de banane,-,Epicerie,
Nectar aux fruits de la passion,Nectar,aux fruits de la passion,-,Epicerie,
Nectar de goyave,Nectar,de goyave,-,Epicerie,
Nectar de mangue,Nectar,de mangue,-,Epicerie,
Nectar de papaye,Nectar,de papaye,-,Epicerie,
Nectar de pêche,Nectar,de pêche,-,Epicerie,
Nectar de poire,Nectar,de poire,-,Epicerie,
Nectar de pomme,Nectar,de pomme,-,Epicerie,
Nectar multifruit,Nectar,multifruit,-,Epicerie,
Nectar multifruit - base orange,Nectar,multifruit - base orange,-,Epicerie,
Nectar multifruit - base pomme,Nectar,multifruit - base pomme,-,Epicerie,
Nectar standard,Nectar,standard,-,Epicerie,
Nectar,Nectar,,-,Epicerie,
Nectarine,Nectarine,,-,Fruits_et_légumes,
Nectarine blanche,Nectarine,blanche,-,Fruits_et_légumes,
Nectarine jaune,Nectarine,jaune,-,Fruits_et_légumes,
Nectavigne,Nectavigne,,-,Fruits_et_légumes,
Nèfle du Japon,Nèfle du Japon,,-,Fruits_et_légumes,
Nem,Nem,,-,Epicerie,
Nem,Nem,,-,Epicerie,
Nem au crabe,Nem,au crabe,-,Epicerie,
Nem au porc,Nem,au porc,-,Epicerie,
Nem au poulet,Nem,au poulet,-,Epicerie,
Nem aux crevettes,Nem,aux crevettes,-,Epicerie,
Neufchâtel,Neufchâtel,,-,BOF,
Noisette,Noisette,,-,Epicerie,
Noisette décortiquée,Noisette,décortiquée,-,Epicerie,
Noisette grillée,Noisette,grillée,-,Epicerie,
Noisette en poudre,Noisette,en poudre,-,Epicerie,
Noisette hachées,Noisette,hachées,-,Epicerie,
Noisette grillée salée,Noisette grillée,salée,-,Epicerie,
Noix cerneaux,Noix,cerneaux,-,Epicerie,
Noix,Noix,,-,Epicerie,
Noix de cajou grillée,Noix de cajou,grillée,-,Epicerie,
Noix de cajou,Noix de cajou,,-,Epicerie,
Noix de coco râpée,Noix de coco,râpée,-,Epicerie,
Noix de coco amande sèche,Noix de coco,amande sèche,-,Epicerie,
Noix de coco,Noix de coco,,-,Epicerie,
Noix de joue de boeuf,Noix de joue,de boeuf,-,Viandes_Poissons,
Noix de macadamia,Noix de macadamia,,-,Epicerie,
Noix de macadamia grillée salée,Noix de macadamia,grillée salée,-,Epicerie,
Noix de muscade,Noix de muscade,,-,Epicerie,
Noix de pécan,Noix de pécan,,-,Epicerie,
Noix du Brésil,Noix du Brésil,,-,Epicerie,
Nonette,Nonette,,-,Epicerie,
Nori,Nori,,-,Epicerie,
Nougat,Nougat,,-,Epicerie,
Nougat glacé,Nougat glacé,,-,Epicerie,
Nougatine,Nougatine,,-,Epicerie,
Nouilles asiatiques,Nouilles asiatiques,,-,Epicerie,
Nugget au poulet,Nugget,au poulet,-,Viandes_Poissons,
Nuggets végétal,Nuggets,végétal,-,Viandes_Poissons,
Nuggets de fromage,Nuggets,de fromage,-,Viandes_Poissons,
Nuggets au soja et blé,Nuggets,au soja et blé,-,Viandes_Poissons,
Nuggets de blé,Nuggets,de blé,-,Viandes_Poissons,
Nuggets au poisson,Nuggets,au poisson,-,Viandes_Poissons,
Nuggets volaille,Nuggets,volaille,-,Viandes_Poissons,
Oeuf en poudre,Oeuf,en poudre,-,BOF,
Oeuf,Oeuf,,-,BOF,
Oeuf blanc en poudre,Oeuf,blanc en poudre,-,BOF,
Oeuf à la coque,Oeuf à la coque,,-,BOF,
Oeuf à la coque prédécoupé,Oeuf à la coque,prédécoupé,-,BOF,
Oeuf au jambon en gelée,Oeuf au jambon,en gelée,-,Viandes_Poissons,
Oeuf au plat,Oeuf au plat,,-,BOF,
Oeuf brouille,Oeuf brouille,,-,BOF,
Oeuf d'oie,Oeuf d'oie,,-,BOF,
Oeuf de caille,Oeuf de caille,,-,BOF,
Oeuf de cane,Oeuf de cane,,-,BOF,
Oeuf de dinde,Oeuf de dinde,,-,BOF,
Oeuf dur,Oeuf dur,,-,BOF,
Oeuf liquide jaune,Oeuf liquide,jaune,-,BOF,
Oeuf liquide blanc,Oeuf liquide,blanc,-,BOF,
Oeuf liquide entier,Oeuf liquide,entier,-,BOF,
Oeuf poché alveole,Oeuf poché,alveole,-,BOF,
Oeuf poché,Oeuf poché,,-,BOF,
Oeuf poudre jaune,Oeuf poudre,jaune,-,BOF,
Oeufs de cabillaud fumés,Oeufs de cabillaud,fumés,-,Viandes_Poissons,
Oeufs de lompe,Oeufs de lompe,,-,Viandes_Poissons,
Oeufs de saumon,Oeufs de saumon,,-,Viandes_Poissons,
Oeufs de truite,Oeufs de truite,,-,Viandes_Poissons,
Ogonori,Ogonori,,-,Epicerie,
Oie,Oie,,-,Viandes_Poissons,
Oignon nouveau,Oignon,nouveau,-,Fruits_et_légumes,
Oignon rouge,Oignon,rouge,-,Fruits_et_légumes,
Oignon,Oignon,,-,Fruits_et_légumes,
Oignon,Oignon,,-,Fruits_et_légumes,
Oignon jaune,Oignon,jaune,-,Fruits_et_légumes,
Oignon,Oignon,,-,Fruits_et_légumes,
Oignon,Oignon,,-,Fruits_et_légumes,
Oignon séché,Oignon,séché,-,Fruits_et_légumes,
Oignon frit,Oignon,frit,-,Fruits_et_légumes,
Oignon blanc,Oignon blanc,,-,Fruits_et_légumes,
Oignons grelot,Oignons,grelot,-,Fruits_et_légumes,
Oignons émincé,Oignons,émincé,-,Fruits_et_légumes,
Olive noire dénoyauté,Olive noire,dénoyauté,-,Epicerie,
Olive noire à l'huile à la grecque,Olive noire,à l'huile à la grecque,-,Epicerie,
Olive noire en saumure,Olive noire,en saumure,-,Epicerie,
Olive noire,Olive noire,,-,Epicerie,
Olive verte dénoyauté,Olive verte,dénoyauté,-,Epicerie,
Olive verte en saumure,Olive verte,en saumure,-,Epicerie,
Olive verte,Olive verte,,-,Epicerie,
Omble chevalier,Omble chevalier,,-,Viandes_Poissons,
Omelette au fromage,Omelette,au fromage,-,BOF,
Omelette aux fines herbes,Omelette,aux fines herbes,-,BOF,
Omelette demi-lune,Omelette,demi-lune,-,BOF,
Omelette,Omelette,,-,BOF,
Omelette norvégienne,Omelette,norvégienne,-,BOF,
Omelette aux champignons,Omelette,aux champignons,-,BOF,
Omelette aux lardons,Omelette,aux lardons,-,BOF,
Opéra en bande,Opéra,en bande,-,Epicerie,
Orange,Orange,,-,Fruits_et_légumes,
Orange sanguine,Orange sanguine,,-,Fruits_et_légumes,
Oreille de porc demi-sel,Oreille de porc,demi-sel,-,Viandes_Poissons,
Orge entière,Orge,entière,-,Epicerie,
Orge perlée,Orge,perlée,-,Epicerie,
Origan séché,Origan,séché,-,Epicerie,
Ormeau,Ormeau,,-,Viandes_Poissons,
Orphie commune,Orphie commune,,-,Viandes_Poissons,
Oseille épluché,Oseille,épluché,-,Fruits_et_légumes,
Oseille,Oseille,,-,Fruits_et_légumes,
Ossau-Iraty,Ossau-Iraty,,-,BOF,
Osso buco,Osso buco,,-,Epicerie,
Paëlla,Paëlla,,-,Epicerie,
Pailleté feuilletine,Pailleté feuilletine,,-,Epicerie,
Pain,Pain,,-,Epicerie,
Pain blanc,Pain,blanc,-,Epicerie,
Pain de campagne,Pain,de campagne,-,Epicerie,
Pain complet,Pain,complet,-,Epicerie,
Pain de seigle et froment,Pain,de seigle et froment,-,Epicerie,
Pain en bande,Pain,en bande,-,Epicerie,
Pain sans gluten,Pain,sans gluten,-,Epicerie,
Pain à burger,Pain,à burger,-,Epicerie,
Pain à bruschetta,Pain,à bruschetta,-,Epicerie,
Pain à kebab,Pain à kebab,,-,Epicerie,
Pain au chocolat,Pain au chocolat,,-,Epicerie,
Pain au chocolat feuilleté,Pain au chocolat,feuilleté,-,Epicerie,
Pain au lait aux pépites de chocolat,Pain au lait,aux pépites de chocolat,-,Epicerie,
Pain au lait,Pain au lait,,-,Epicerie,
Pain au son,Pain au son,,-,Epicerie,
Pain aux raisins,Pain aux raisins,,-,Epicerie,
Pain brioché,Pain brioché,,-,Epicerie,
Pain d'épices,Pain d'épices,,-,Epicerie,
Pain d'épices fourré,Pain d'épices,fourré,-,Epicerie,
Pain de mie,Pain de mie,,-,Epicerie,
Pain de mie au son,Pain de mie,au son,-,Epicerie,
Pain de mie brioché,Pain de mie,brioché,-,Epicerie,
Pain de mie complet,Pain de mie,complet,-,Epicerie,
Pain de mie multicéréale,Pain de mie,multicéréale,-,Epicerie,
Pain de mie sans croûte,Pain de mie,sans croûte,-,Epicerie,
Pain grillé domestique,Pain grillé,domestique,-,Epicerie,
Pain grillé tranches au froment,Pain grillé,tranches au froment,-,Epicerie,
Pain grillé tranches multicéréale,Pain grillé,tranches multicéréale,-,Epicerie,
Pain grillé brioché tranché,Pain grillé brioché,tranché,-,Epicerie,
Pain grillé suédois au blé complet,Pain grillé suédois,au blé complet,-,Epicerie,
Pain grillé suédois au froment,Pain grillé suédois,au froment,-,Epicerie,
Pain grillé suédois aux fruits,Pain grillé suédois,aux fruits,-,Epicerie,
Pain grillé suédois aux graines de lin,Pain grillé suédois,aux graines de lin,-,Epicerie,
Pain hamburger,Pain hamburger,,-,Epicerie,
Pain panini,Pain panini,,-,Epicerie,
Pain perdu,Pain perdu,,-,BOF,
Pain pita,Pain pita,,-,Epicerie,
Pain pour hamburger complet,Pain pour hamburger,complet,-,Epicerie,
Pain pour hot dog,Pain pour hot dog,,-,Epicerie,
Pain pour hot dog complet,Pain pour hot dog,complet,-,Epicerie,
Pak choï tiges et feuilles,Pak choï,tiges et feuilles,-,Fruits_et_légumes,
Paleron,Paleron,,-,Viandes_Poissons,
Palet de légumes,Palet de légumes,,-,Epicerie,
Palette d'agneau,Palette,d'agneau,-,Epicerie,
Palette au porc,Palette,au porc,-,Epicerie,
Palette à la provençale,Palette,à la provençale,-,Epicerie,
Palette découennée,Palette,découennée,-,Epicerie,
Palette à la diable,Palette,à la diable,-,Epicerie,
Palmier,Palmier,,-,Epicerie,
Palourde,Palourde,,-,Viandes_Poissons,
Pamplemousse,Pamplemousse,,-,Fruits_et_légumes,
Pamplemousse chinois,Pamplemousse,chinois,-,Fruits_et_légumes,
Pan bagnat,Pan bagnat,,-,Epicerie,
Panaché,Panaché,,-,Epicerie,
Panaché <1° alc.,Panaché,<1° alc.,-,Epicerie,
Panais en cubes,Panais,en cubes,-,Fruits_et_légumes,
Panais épluché,Panais,épluché,-,Fruits_et_légumes,
Panais,Panais,,-,Fruits_et_légumes,
Pancetta,Pancetta,,-,Viandes_Poissons,
Panga,Panga,,-,Viandes_Poissons,
Pangasius,Pangasius,,-,Viandes_Poissons,
Panna cotta avec préparations de fruits ou caramel,Panna cotta,avec préparations de fruits ou caramel,-,BOF,
Papaye,Papaye,,-,Fruits_et_légumes,
Paprika en huile,Paprika,en huile,-,Epicerie,
Paprika,Paprika,,-,Epicerie,
Parmentier de canard,Parmentier de canard,,-,Epicerie,
Parmesan rapé,Parmesan,rapé,-,BOF,
Parmesan,Parmesan,,-,BOF,
Pastèque,Pastèque,,-,Fruits_et_légumes,
Pastèque sans pépins,Pastèque,sans pépins,-,Fruits_et_légumes,
Pastilla au poulet,Pastilla,au poulet,-,Epicerie,
Pastis,Pastis,,-,Epicerie,
Pastis forte >8° alcool,Pastis,forte >8° alcool,-,Epicerie,
Patate douce blanchie,Patate douce,blanchie,-,Fruits_et_légumes,
Patate douce,Patate douce,,-,Fruits_et_légumes,
Pâte,Pâte,,-,Epicerie,
Pâte tortellini,Pâte,tortellini,-,Epicerie,
Pâte à pain,Pâte,à pain,-,Epicerie,
Pâte Risetti,Pâte,Risetti,-,Epicerie,
Pâté de volaille,Pâté,de volaille,-,Viandes_Poissons,
Pâté de lapin,Pâté,de lapin,-,Viandes_Poissons,
Pâté de foie d'oie,Pâté,de foie d'oie,-,Viandes_Poissons,
Pâté de foie de volaille,Pâté,de foie de volaille,-,Viandes_Poissons,
Pâté breton,Pâté,breton,-,Viandes_Poissons,
Pâté au poivre vert,Pâté,au poivre vert,-,Viandes_Poissons,
Pâté de gibier,Pâté,de gibier,-,Viandes_Poissons,
Pâté au jambon,Pâté,au jambon,-,Viandes_Poissons,
Pâté de foie de porc,Pâté,de foie de porc,-,Viandes_Poissons,
Pâté de foie de porc supérieur,Pâté,de foie de porc supérieur,-,Viandes_Poissons,
Pâté de campagne,Pâté,de campagne,-,Viandes_Poissons,
Pâte à lasagne,Pâte à lasagne,,-,Epicerie,
Pâte à pizza fine,Pâte à pizza,fine,-,Epicerie,
Pâte à pizza,Pâte à pizza,,-,Epicerie,
Pâte à tartiner chocolat et noisette,Pâte à tartiner,chocolat et noisette,-,Epicerie,
Pâte brisée pur beurre,Pâte brisée,pur beurre,-,Epicerie,
Pâte brisée matière grasse végétale,Pâte brisée,matière grasse végétale,-,Epicerie,
Pâte brisée,Pâte brisée,,-,Epicerie,
Pâte d'amande,Pâte d'amande,,-,Epicerie,
Pâte d'arachide,Pâte d'arachide,,-,Epicerie,
Pâte de fruits,Pâte de fruits,,-,Epicerie,
Pâté en croûte,Pâté en croûte,,-,Viandes_Poissons,
Pâte ferme enrobé de cire,Pâte ferme,enrobé de cire,-,Epicerie,
Pâte feuilletée 2.8mm,Pâte feuilletée,2.8mm,-,Epicerie,
Pâte feuilletée,Pâte feuilletée,,-,Epicerie,
Pâte feuilletée,Pâte feuilletée,,-,Epicerie,
Pâte feuilletée matière grasse végétale,Pâte feuilletée,matière grasse végétale,-,Epicerie,
Pâte feuilletée pur beurre,Pâte feuilletée,pur beurre,-,Epicerie,
Pâte multicolore,Pâte multicolore,,-,Epicerie,
Pâte phyllo,Pâte phyllo,,-,Epicerie,
Pâte sablée,Pâte sablée,,-,Epicerie,
Pâte sablée pur beurre,Pâte sablée,pur beurre,-,Epicerie,
Pâte sablée pur beurre,Pâte sablée,pur beurre,-,Epicerie,
Pâtes à la bolognaise,Pâtes,à la bolognaise,-,Epicerie,
Pâtes à la carbonara,Pâtes,à la carbonara,-,Epicerie,
Pâtes en sauce aux fromages,Pâtes,en sauce aux fromages,-,Epicerie,
Pâtes fraîches cuisiné,Pâtes fraîches,cuisiné,-,Epicerie,
Pâtes fraîches bacon,Pâtes fraîches,bacon,-,Epicerie,
Pâtes fraîches curry,Pâtes fraîches,curry,-,Epicerie,
Pâtes fraîches olive noire,Pâtes fraîches,olive noire,-,Epicerie,
Pâtes fraîches raifort,Pâtes fraîches,raifort,-,Epicerie,
Pâtes fraîches 4 poivres,Pâtes fraîches,4 poivres,-,Epicerie,
Pâtes fraîches,Pâtes fraîches,,-,Epicerie,
Pâtes fraîches aux oeufs,Pâtes fraîches,aux oeufs,-,Epicerie,
Pâtes fraîches double crème pavé,Pâtes fraîches,double crème pavé,-,Epicerie,
Pâtes fraîches farcies à la viande,Pâtes fraîches farcies,à la viande,-,Epicerie,
Pâtes fraîches farcies au fromage,Pâtes fraîches farcies,au fromage,-,Epicerie,
Pâtes fraîches farcies au fromage et aux légumes,Pâtes fraîches farcies,au fromage et aux légumes,-,Epicerie,
Pâtes fraîches farcies aux légumes,Pâtes fraîches farcies,aux légumes,-,Epicerie,
Pâtes ou nouilles asiatiques au blé nature,Pâtes ou nouilles asiatiques,au blé nature,-,Epicerie,
